,Link,Author,Title,Is_Audio
0,/liana-moriarti/bolshaya-malenkaya-lozh-9336782/,Лиана Мориарти,Большая маленькая ложь,False
1,/stuart-terton/sem-smertey-eveliny-hardkasl/,Стюарт Тёртон,Семь смертей Эвелины Хардкасл,False
2,/dina-rubina/russkaya-kanareyka-zheltuhin/,Дина Рубина,Русская канарейка. Желтухин,False
3,/masha-traub/moya-babushka-lermontov/,Маша Трауб,Моя бабушка – Лермонтов,False
4,/dzhonatan-foer/zhutko-gromko-i-zapredelno-blizko-4/,Джонатан Сафран Фоер,Жутко громко и запредельно близко,False
5,/donato-karrizi/zhenschina-s-bumazhnymi-cvetami/,Донато Карризи,Женщина с бумажными цветами,False
6,/dzhia-dzhiang/a-ya-tebya-net-kak-ne-boyatsya-otkazov-i-idti-naprolom-k-svo/,Джиа Джианг,А я тебя «нет». Как не бояться отказов и идти напролом к своей цели,False
7,/trumen-kapote/zavtrak-u-tiffani-23750789/,Трумен Капоте,Завтрак у Тиффани,True
8,/masha-traub/vtoroy-raz-v-pervyy-klass/,Маша Трауб,Второй раз в первый класс,False
9,/filip-huk/zavtrak-u-sotheby-s-mir-iskusstva-ot-a-do-ya/,Филип Хук,Завтрак у Sotheby’s. Мир искусства от А до Я,False
10,/elis-sibold/milye-kosti/,Элис Сиболд,Милые кости,False
11,/haled-hosseyni/i-eho-letit-po-goram-21536925/,Халед Хоссейни,И эхо летит по горам,True
12,/frenk-abigneyl/poymay-menya-esli-smozhesh-realnaya-istoriya-samogo-neulovimogo-moshennika-za-vsu-istoriu-prestupleniy/,Фрэнк Абигнейл,"Поймай меня, если сможешь. Реальная история самого неуловимого мошенника за всю историю преступлений",False
13,/mihail-zoschenko/umoristicheskie-rasskazy-14109750/,Михаил Зощенко,Юмористические рассказы,True
14,/u-nesbe/krov-na-snegu-10213590/,Ю Несбё,Кровь на снегу,True
15,/anton-chehov/umoristicheskie-rasskazy-antoshi-chehonte-5317342/,Антон Чехов,Юмористические рассказы Антоши Чехонте,True
16,/aleks-roulings-13329/kak-zagovorit-na-lubom-yazyke-uvlekatelnaya-metodika/,Алекс Роулингс,"Как заговорить на любом языке. Увлекательная методика, позволяющая быстро и эффективно выучить любой иностранный язык",False
17,/adrian-shulte/kishechnik-kak-u-tebya-dela/,Адриан Шульте,Кишечник. Как у тебя дела?,False
18,/gans-hristian-anders/skazki-i-istorii-snezhnaya-koroleva-ole-lukoye-292342/,Ганс Христиан Андерсен,Сказки и истории: Снежная королева. Оле Лукойе. Русалочка. Огниво и другие,True
19,/mishel-bussi/poka-ty-ne-spish-22457942/,Мишель Бюсси,Пока ты не спишь,True
20,/antuan-de-sent-ekzuperi/malenkiy-princ-audiospektakl-23569794/,Антуан де Сент-Экзюпери,Маленький принц (аудиоспектакль),True
21,/shuke-macumoto/uborka-v-stile-dzen-metod-navedeniya-poryadka-bez-33173657/,Шуке Мацумото,Уборка в стиле дзен. Метод наведения порядка без усилий и стресса от буддийского монаха,True
22,/nikolay-nosov/mishkina-kasha/,Николай Носов,Мишкина каша,True
23,/mariya-metlickaya/vpolne-schastlivye-zhenschiny-37405364/,Мария Метлицкая,Вполне счастливые женщины (сборник),False
24,/e-o-chirovici/kniga-zerkal/,Э. О. Чировици,Книга зеркал,False
25,/mark-levi/mezhdu-nebom-i-zemley/,Марк Леви,Между небом и землей,False
26,/madlen-l-engl/izlom-vremeni/,Мадлен Л`Энгл,Излом времени,False
27,/terri-pratchett/strazha-strazha-33391565/,Терри Пратчетт,Стража! Стража!,True
28,/sesiliya-ahern/s-lubovu-rozi/,Сесилия Ахерн,"С любовью, Рози",False
29,/per-lemetr/tri-dnya-i-vsya-zhizn/,Пьер Леметр,Три дня и вся жизнь,False
30,/viktor-dragunskiy/gde-eto-vidano-gde-eto-slyhano-176833/,Виктор Драгунский,"Где это видано, где это слыхано…",True
31,/yan-beker/ty-mozhesh-vse-chto-zahochesh-kak-ispolzovat-magiu-pods-36343903/,Ян Бекер,"Ты можешь все, что захочешь! Как использовать магию подсознания для трансформации жизни",True
32,/frederik-sroar-17254/homo-sidyaschiy-kak-nayti-3-u-tochku-opory-i-38893835/,Фредерик Сроар,Homo Сидящий. Как найти 3-ю точку опоры и избавиться от боли,False
33,/dzherald-darrell/tri-bileta-do-edvencher/,Джеральд Даррелл,Три билета до Эдвенчер,False
34,/gillian-flinn/kto-to-vzroslyy/,Гиллиан Флинн,Кто-то взрослый,False
35,/odri-niffenegger/zhena-puteshestvennika-vo-vremeni-3/,Одри Ниффенеггер,Жена путешественника во времени,False
36,/enn-tayler/udocheryaya-ameriku-34023366/,Энн Тайлер,Удочеряя Америку,True
37,/maykl-bond/medvezhonok-paddington-v-sadu/,Майкл Бонд,Медвежонок Паддингтон в саду,False
38,/stefan-cveyg/neterpenie-serdca-18794887/,Стефан Цвейг,Нетерпение сердца,False
39,/dzheyms-cheyz/delo-o-naezde/,Джеймс Хедли Чейз,Дело о наезде,False
40,/shennon-leoni-fauler/puteshestvuya-s-priznakami-vdohnovlyauschaya-istoriya/,Шэннон Леони Фаулер,Путешествуя с призраками. Вдохновляющая история любви и поиска себя,False
41,/r-froning/kak-krossfit-sdelal-menya-samym-fizicheski-podgotovlennym-chelovekom-zemli/,Рич Фронинг,Как кроссфит сделал меня самым физически подготовленным человеком Земли,False
