,Link,Author,Title,Is_Audio
0,/haruki-murakami/hroniki-zavodnoy-pticy/,Харуки Мураками,Хроники Заводной Птицы,False
1,/edvard-rezerford/parizh/,Эдвард Резерфорд,Париж,False
2,/karl-richards/davay-pogovorim-o-tvoih-dohodah-i-rashodah/,Карл Ричардс,Давай поговорим о твоих доходах и расходах,False
3,/viktor-pelevin/snuff-12244972/,Виктор Пелевин,S.N.U.F.F.,True
4,/bleyk-krauch/temnaya-materiya/,Блейк Крауч,Темная материя,False
5,/dzhon-faulz/volhv/,Джон Фаулз,Волхв,False
6,/dzhon-boyn/malchik-na-vershine-gory/,Джон Бойн,Мальчик на вершине горы,False
7,/zhan-mishel-genassiya/klub-neispravimyh-optimistov/,Жан-Мишель Генассия,Клуб неисправимых оптимистов,False
8,/keyt-atkinson/vitauschie-v-oblakah/,Кейт Аткинсон,Витающие в облаках,False
9,/filippa-gregori/vechnaya-princessa-3/,Филиппа Грегори,Вечная принцесса,False
10,/dzhoanna-faber/kak-govorit-chtoby-malenkie-deti-vas-slushali-rukovodstvo-po-vyzhivaniu-s-detmi-ot-2-do-7-let/,Джули Адэр Кинг,"Как говорить, чтобы маленькие дети вас слушали. Руководство по выживанию с детьми от 2 до 7 лет",False
11,/piter-meyl/provans-ot-a-do-z-11838601/,Питер Мейл,Прованс от A до Z,False
12,/aleksandr-pushkin/evgeniy-onegin-5807213/,Александр Пушкин,Евгений Онегин,True
13,/sara-uoters/malenkiy-neznakomec/,Сара Уотерс,Маленький незнакомец,False
14,/e-robertson/vzlomannye-nebesa/,Эл Робертсон,Взломанные небеса,False
15,/filip-dik/chelovek-v-vysokom-zamke/,Филип Киндред Дик,Человек в Высоком замке,False
16,/nik-perumov/cherep-na-rukave/,Ник Перумов,Череп на рукаве,False
17,/kristin-hanna/solovey-23219894/,Кристин Ханна,Соловей,True
18,/dmitriy-bykov/lekciya-garri-potter-evangelie-ot-rouling-8891499/,Дмитрий Быков,Лекция «Гарри Поттер. Евангелие от Роулинг»,True
19,/gerbert-dzhordzh-uells/voyna-mirov-22203742/,Герберт Уэллс,Война миров,True
20,/vladimir-kunin/russkie-na-marienplac-27101588/,Владимир Кунин,Русские на Мариенплац,True
21,/dzhek-kenfild/kurinyy-bulon-dlya-dushi-101-istoriya-o-zhivotnyh/,Джек Кэнфилд,Куриный бульон для души: 101 история о животных (сборник),False
22,/vladimir-nabokov/blednyy-ogon/,Владимир Набоков,Бледный огонь,False
23,/dzhonatan-foer/polnaya-illuminaciya/,Джонатан Сафран Фоер,Полная иллюминация,False
24,/stiven-kovi/7-navykov-vysokoeffektivnyh-semey-chast-1-10942989/,Стивен Кови,7 навыков высокоэффективных семей. Часть 1,True
25,/sten-li/kak-risovat-supergeroev-ekskluzivnoe-rukovodstvo-po-risov-31509504/,Стэн Ли,Как рисовать супергероев. Эксклюзивное руководство по рисованию,False
26,/viktor-dragunskiy/on-zhivoy-i-svetitsya-176834/,Виктор Драгунский,Он живой и светится,True
27,/olesya-kuprin/budesh-tort-29420744/,Куприн Олеся,Будешь торт?,False
28,/bastian-cah/morbus-dei-zarozhdenie/,Бастиан Цах,Morbus Dei. Зарождение,False
29,/iota-tacunari/ona-ne-obyasnyaet-on-ne-dogadyvaetsya-yaponskoe-iskusstvo-di/,Тацунари Иота,"Она не объясняет, он не догадывается. Японское искусство диалога без ссор",False
30,/grem-simsion/proekt-rozi-11132531/,Грэм Симсион,Проект «Рози»,True
31,/doyl-melton-glennon/voin-lubvi-istoriya-lubvi-i-proscheniya/,Гленнон Дойл Мелтон,Воин любви. История любви и прощения,False
32,/varvara-ahremko/sam-sebe-dizayner-interera-illustrirovannoe-posha-29196254/,Варвара Ахремко,Сам себе дизайнер интерьера. Иллюстрированное пошаговое руководство,False
33,/esper-uul/hugge-datskiy-detskiy-mir-mudrye-sovety-roditelyam-ot-psihologa-iz-samoy-schastlivoy-strany/,Еспер Юуль,Хюгге. Датский детский мир: мудрые советы родителям от психолога из самой счастливой страны,False
34,/aleksandr-duma/the-three-musketeers-tri-mushketera-173320/,Александр Дюма,The Three Musketeers / Три мушкетера,True
35,/shon-smit/kim-golaya-pravda/,Шон Смит,Ким. Голая правда,False
36,/nik-perumov/posrednik/,Ник Перумов,Посредник,False
37,/anna-zayceva/polimernaya-glina-samyy-polnyy-i-ponyatnyy-samouchitel-2/,Анна Зайцева,Полимерная глина. Самый полный и понятный самоучитель,False
38,/toni-morrison-2/bozhe-hrani-moe-ditya/,Тони Моррисон,"Боже, храни мое дитя",False
39,/p-vozdvizhenskiy/bibleyskie-rasskazy-dlya-detey-173382/,Платон Воздвиженский,Библейские рассказы для детей,True
40,/lev-tolstoy/voyna-i-mir-toma-1-i-2-v-sokraschenii-173653/,Лев Толстой,Война и мир. Тома 1 и 2 (в сокращении),True
41,/kollektiv-avtorov/50-sobytiy-izmenivshih-mir-11816716/,Коллектив авторов,"50 событий, изменивших мир",True
42,/o-ivanov/detskoe-menu-ot-1-goda-do-7-let-s-sovetami-pediatra/,,Детское меню от 1 года до 7 лет с советами педиатра,False
43,/zhul-vern/vokrug-sveta-za-80-dney-sokraschennyy-pereskaz-5317173/,Жюль Верн,Вокруг света за 80 дней (сокращенный пересказ),True
44,/heyli-berch/himiya-50-idey-o-kotoryh-nuzhno-znat-22095169/,Хэйли Бёрч,"Химия. 50 идей, о которых нужно знать",False
45,/kerri-fisher/dnevnik-princessy-lei-avtobiografiya-kerri-fisher/,Кэрри Фишер,Дневник принцессы Леи. Автобиография Кэрри Фишер,False
46,/karlin-chernilya-bechc/buntarki-mody-ikony-stilya-izmenivshie-mir-30483793/,Карлин Чернилья Беччья,"Бунтарки моды. Иконы стиля, изменившие мир",False
