,Link,Author,Title,Is_Audio
0,/stuart-terton/sem-smertey-eveliny-hardkasl/,Стюарт Тёртон,Семь смертей Эвелины Хардкасл,False
1,/georgiy-daneliya/bezbiletnyy-passazhir/,Георгий Данелия,Безбилетный пассажир,False
2,/haruki-murakami/norvezhskiy-les-10858418/,Харуки Мураками,Норвежский лес,False
3,/rozamunda-pilcher/vozvraschenie-domoy/,Розамунда Пилчер,Возвращение домой,False
4,/fredrik-bakman/zdes-byla-britt-mari-35426973/,Фредрик Бакман,Здесь была Бритт-Мари,True
5,/donato-karrizi/zhenschina-s-bumazhnymi-cvetami/,Донато Карризи,Женщина с бумажными цветами,False
6,/haruki-murakami/kafka-na-plyazhe/,Харуки Мураками,Кафка на пляже,False
7,/dzhonatan-foer/zhutko-gromko-i-zapredelno-blizko-4/,Джонатан Сафран Фоер,Жутко громко и запредельно близко,False
8,/dzhia-dzhiang/a-ya-tebya-net-kak-ne-boyatsya-otkazov-i-idti-naprolom-k-svo/,Джиа Джианг,А я тебя «нет». Как не бояться отказов и идти напролом к своей цели,False
9,/den-brule/prosto-dyshi-spokoystvie-garmoniya-zdorove-uspeh/,Дэн Брюле,Просто дыши. Спокойствие. Гармония. Здоровье. Успех,False
10,/elena-ferrante-10410544/moya-genialnaya-podruga-24890023/,Элена Ферранте,Моя гениальная подруга,True
11,/viktor-pelevin/t-26117967/,Виктор Пелевин,t,True
12,/u-nesbe/krov-na-snegu-10213590/,Ю Несбё,Кровь на снегу,True
13,/gevin-frensis-126450/metamorfozy-puteshestvie-hirurga-po-samym-prekrasnym/,Гэвин Фрэнсис,Метаморфозы. Путешествие хирурга по самым прекрасным и ужасным изменениям человеческого тела,False
14,/elis-sibold/milye-kosti/,Элис Сиболд,Милые кости,False
15,/filip-huk/zavtrak-u-sotheby-s-mir-iskusstva-ot-a-do-ya/,Филип Хук,Завтрак у Sotheby’s. Мир искусства от А до Я,False
16,/ekaterina-ostrovskaya/aktery-zatonuvshego-teatra/,Екатерина Островская,Актеры затонувшего театра,False
17,/nik-vuychich/bezgranichnost-50-urokov-kotorye-sdelaut-tebya-vozmutitelno-s/,Ник Вуйчич,"Безграничность. 50 уроков, которые сделают тебя возмутительно счастливым",False
18,/maykl-marshall/solomennye-ludi/,Майкл Маршалл,Соломенные люди,False
19,/gabriel-bernshteyn-1/vselennaya-na-tvoey-storone-kak-prevratit-strah-v-nad/,Габриэль Бернштейн,Вселенная на твоей стороне. Как превратить страх в надежду на лучшее,False
20,/denis-celyh/romancev-pravda-obo-mne-i-spartake/,Денис Целых,Романцев. Правда обо мне и «Спартаке»,False
21,/kerol-medzhio/aerobika-dlya-kozhi-i-myshc-lica-kompleks-uprazhneniy-dlya-vosstanovleniya-molodosti-26347735/,Кэрол Мэджио,Аэробика для кожи и мышц лица. Комплекс упражнений для восстановления молодости,False
22,/ketrin-stokett/prisluga-35895435/,Кэтрин Стокетт,Прислуга,True
23,/aleksandr-pushkin/evgeniy-onegin-5807213/,Александр Пушкин,Евгений Онегин,True
24,/gabriella-bennett/coorie-shotlandskoe-iskusstvo-schastya-40213518/,Габриэлла Беннетт,Coorie. Шотландское искусство счастья,False
25,/yohan-heyzinga/osen-srednevekovya/,Йохан Хёйзинга,Осень Средневековья,False
26,/oliver-bouden/assassin-s-creed-renessans/,Оливер Боуден,Assassin's Creed. Ренессанс,False
27,/e-kristensen/yoga-dlya-vseh-put-k-zdorovu-2/,Элис Кристенсэн,Йога для всех. Путь к здоровью,False
28,/keyt-hadson/prosto-byt-schastlivoy-izmeni-sebya-ne-izmenyaya-sebe/,Кейт Хадсон,"Просто быть счастливой: измени себя, не изменяя себе",False
29,/devid-grann/zateryannyy-gorod-z/,Дэвид Гранн,Затерянный город Z,False
30,/martin-sey/zerkalnyy-vor/,Мартин Сэй,Зеркальный вор,False
31,/madlen-l-engl/izlom-vremeni/,Мадлен Л`Энгл,Излом времени,False
32,/dafna-dumore/francuzov-ruchey/,Дафна дю Морье,Французов ручей,False
33,/luiza-hey/lubov-k-sebe-kak-put-k-zdorovu/,Луиза Хей,Любовь к себе как путь к здоровью,False
34,/vladimir-nabokov/strogie-suzhdeniya/,Владимир Набоков,Строгие суждения,False
35,/donald-sull/prostye-pravila-kak-preuspet-v-slozhnom-mire/,Дональд Сулл,Простые правила. Как преуспеть в сложном мире,False
36,/lev-tolstoy/tolstoy-detyam-173426/,Лев Толстой,Толстой детям,True
37,/bob-batchelor-15159760/sten-li-sozdatel-velikoy-vselennoy-marvel/,Боб Батчелор,Стэн Ли. Создатель великой вселенной Marvel,False
38,/dzheyn-ostin/gordost-i-predubezhdenie-sokraschennyy-pereskaz-173425/,Джейн Остин,Гордость и предубеждение (сокращенный пересказ),True
39,/stiven-guld/teleport/,Стивен Гулд,Телепорт,False
