,Link,Author,Title,Is_Audio
0,/fredrik-bakman/zdes-byla-britt-mari-35426973/,Фредрик Бакман,Здесь была Бритт-Мари,True
1,/elena-ferrante-10410544/moya-genialnaya-podruga-24890023/,Элена Ферранте,Моя гениальная подруга,True
2,/elis-sibold/milye-kosti/,Элис Сиболд,Милые кости,False
3,/dzhon-gay/dve-korolevy/,Джон Гай,Две королевы,False
4,/viktor-pelevin/t-26117967/,Виктор Пелевин,t,True
5,/gevin-frensis-126450/metamorfozy-puteshestvie-hirurga-po-samym-prekrasnym/,Гэвин Фрэнсис,Метаморфозы. Путешествие хирурга по самым прекрасным и ужасным изменениям человеческого тела,False
6,/nikolay-nosov/mishkina-kasha/,Николай Носов,Мишкина каша,True
7,/u-nesbe/krov-na-snegu-10213590/,Ю Несбё,Кровь на снегу,True
8,/frenk-abigneyl/poymay-menya-esli-smozhesh-realnaya-istoriya-samogo-neulovimogo-moshennika-za-vsu-istoriu-prestupleniy/,Фрэнк Абигнейл,"Поймай меня, если сможешь. Реальная история самого неуловимого мошенника за всю историю преступлений",False
9,/dalay-lama-xiv/iskusstvo-byt-schastlivym/,Далай-лама XIV,Искусство быть счастливым,False
10,/dzheff-houi/sdvig-kak-vyzhit-v-stremitelnom-buduschem/,Джой Ито,Сдвиг. Как выжить в стремительном будущем,False
11,/boris-akunin/kladbischenskie-istorii-6449710/,Борис Акунин,Кладбищенские истории,True
12,/luk-ollnatt/nebo-prinadlezhit-nam/,Люк Оллнатт,Небо принадлежит нам,False
13,/devid-grann/zateryannyy-gorod-z/,Дэвид Гранн,Затерянный город Z,False
14,/gabriella-bennett/coorie-shotlandskoe-iskusstvo-schastya-40213518/,Габриэлла Беннетт,Coorie. Шотландское искусство счастья,False
15,/tasha-eyrih-12782317/insayt-pochemu-my-ne-osoznaem-sebya-tak-horosho-kak-nam-kazhetsya-i-pochemu-otchetlivoe-predstavlenie-o-sebe-pomogaet-dobitsya-uspeha-v-rabote-i-lichnoy-zhizni/,Таша Эйрих,"Инсайт. Почему мы не осознаем себя так хорошо, как нам кажется, и почему отчетливое представление о себе помогает добиться успеха в работе и личной жизни",False
16,/sesiliya-ahern/lublu-tvoi-vospominaniya/,Сесилия Ахерн,Люблю твои воспоминания,False
17,/bet-kouts/kak-by-postupila-kleopatra-kak-velikie-zhenschiny-reshali-ezhedn/,Элизабет Фоули,Как бы поступила Клеопатра? Как великие женщины решали ежедневные проблемы: от Фриды Кало до Анны Ахматовой,False
18,/gabriel-bernshteyn-1/vselennaya-na-tvoey-storone-kak-prevratit-strah-v-nad/,Габриэль Бернштейн,Вселенная на твоей стороне. Как превратить страх в надежду на лучшее,False
19,/sergey-urskiy/igra-v-zhizn/,Сергей Юрский,Игра в жизнь,False
20,/duglas-preston/poteryannyy-gorod-obezyanego-boga/,Дуглас Престон,Потерянный город Обезьяньего бога,False
21,/devid-perlmutter/zdorovyy-mozg-programma-dlya-uluchsheniya-pamyati-i-myshleniya/,Дэвид Перлмуттер,Здоровый мозг. Программа для улучшения памяти и мышления,False
22,/ukio-misima/ispoved-maski/,Юкио Мисима,Исповедь маски,False
23,/gerbi-brennan/tainstvennyy-mir-koshek/,Герби Бреннан,Таинственный мир кошек,False
24,/natali-de-buagrole/vospityvat-ne-povyshaya-golosa-kak-vernut-sebe-spokoyst/,Натали Де Буагролье,"Воспитывать, не повышая голоса. Как вернуть себе спокойствие, а детям – детство",False
25,/holli-blek/spaydervik-hroniki/,Холли Блэк,Спайдервик. Хроники,False
26,/dzhennifer-linch/tvin-piks-taynyy-dnevnik-lory-palmer/,Дженнифер Линч,Твин-Пикс: Тайный дневник Лоры Палмер,False
27,/affiniti-konar/mischling-chuzhekrovka/,Аффинити Конар,Mischling. Чужекровка,False
28,/r-froning/kak-krossfit-sdelal-menya-samym-fizicheski-podgotovlennym-chelovekom-zemli/,Рич Фронинг,Как кроссфит сделал меня самым физически подготовленным человеком Земли,False
29,/uolter-levin/glazami-fizika-ot-kraya-radugi-k-granice-vremeni/,Уолтер Левин,Глазами физика. От края радуги к границе времени,False
30,/luiza-hey/lubov-k-sebe-kak-put-k-zdorovu/,Луиза Хей,Любовь к себе как путь к здоровью,False
31,/yohan-heyzinga/osen-srednevekovya/,Йохан Хёйзинга,Осень Средневековья,False
32,/nikolay-gogol/viy-5807210/,Николай Гоголь,Вий,True
33,/enn-tayler/udocheryaya-ameriku-34023366/,Энн Тайлер,Удочеряя Америку,True
34,/mark-tven/priklucheniya-toma-soyera-kniga-dlya-chteniya-na-angliy-14077545/,Марк Твен,Приключения Тома Сойера. Книга для чтения на английском языке,False
35,/devid-ebehard/deti-u-vlasti-kak-my-rastim-malenkih-tiranov-kotorye-upravlyaut-nami/,Дэвид Эбехард,"Дети у власти: как мы растим маленьких тиранов, которые управляют нами",False
36,/arthur-konan-doyle/marakotova-bezdna-173316/,Артур Конан Дойл,Маракотова бездна,True
37,/yan-beker/ty-mozhesh-vse-chto-zahochesh-kak-ispolzovat-magiu-pods-36343903/,Ян Бекер,"Ты можешь все, что захочешь! Как использовать магию подсознания для трансформации жизни",True
38,/aleksandr-duma/tri-mushketera-sokraschennyy-pereskaz-173319/,Александр Дюма,Три мушкетера (сокращенный пересказ),True
39,/sharlotta-bronte/dzheyn-eyr-sokraschennyy-pereskaz-21991444/,Шарлотта Бронте,Джейн Эйр (сокращенный пересказ),True
