,Link,Author,Title,Is_Audio
0,/liana-moriarti/bolshaya-malenkaya-lozh-9336782/,Лиана Мориарти,Большая маленькая ложь,False
1,/georgiy-daneliya/bezbiletnyy-passazhir/,Георгий Данелия,Безбилетный пассажир,False
2,/haruki-murakami/norvezhskiy-les-10858418/,Харуки Мураками,Норвежский лес,False
3,/dina-rubina/russkaya-kanareyka-zheltuhin/,Дина Рубина,Русская канарейка. Желтухин,False
4,/dzhoann-harris/pyat-chetvertinok-apelsina/,Джоанн Харрис,Пять четвертинок апельсина,False
5,/diana-setterfild/trinadcataya-skazka-8920377/,Диана Сеттерфилд,Тринадцатая сказка,True
6,/donato-karrizi/zhenschina-s-bumazhnymi-cvetami/,Донато Карризи,Женщина с бумажными цветами,False
7,/fredrik-bakman/zdes-byla-britt-mari-35426973/,Фредрик Бакман,Здесь была Бритт-Мари,True
8,/trumen-kapote/zavtrak-u-tiffani-23750789/,Трумен Капоте,Завтрак у Тиффани,True
9,/dzhon-steynbek/russkiy-dnevnik/,Джон Стейнбек,Русский дневник,False
10,/masha-traub/moya-babushka-lermontov/,Маша Трауб,Моя бабушка – Лермонтов,False
11,/sofi-kinsella/udivi-menya/,Софи Кинселла,Удиви меня,False
12,/elena-ferrante-10410544/moya-genialnaya-podruga-24890023/,Элена Ферранте,Моя гениальная подруга,True
13,/dzhon-gay/dve-korolevy/,Джон Гай,Две королевы,False
14,/dzhulian-fellouz/snoby/,Джулиан Феллоуз,Снобы,False
15,/haled-hosseyni/i-eho-letit-po-goram-21536925/,Халед Хоссейни,И эхо летит по горам,True
16,/dzhonatan-foer/zhutko-gromko-i-zapredelno-blizko-4/,Джонатан Сафран Фоер,Жутко громко и запредельно близко,False
17,/luk-ollnatt/nebo-prinadlezhit-nam/,Люк Оллнатт,Небо принадлежит нам,False
18,/u-nesbe/krov-na-snegu-10213590/,Ю Несбё,Кровь на снегу,True
19,/terri-pratchett/strazha-strazha-33391565/,Терри Пратчетт,Стража! Стража!,True
20,/mishel-bussi/poka-ty-ne-spish-22457942/,Мишель Бюсси,Пока ты не спишь,True
21,/frenk-abigneyl/poymay-menya-esli-smozhesh-realnaya-istoriya-samogo-neulovimogo-moshennika-za-vsu-istoriu-prestupleniy/,Фрэнк Абигнейл,"Поймай меня, если сможешь. Реальная история самого неуловимого мошенника за всю историю преступлений",False
22,/boris-akunin/kladbischenskie-istorii-6449710/,Борис Акунин,Кладбищенские истории,True
23,/bernar-verber/zvezdnaya-babochka-9598677/,Бернар Вербер,Звездная бабочка,False
24,/mark-levi/ne-takaya-kak-vse-36087839/,Марк Леви,"Не такая, как все",True
25,/mayk-viking/lykke-v-poiskah-sekretov-samyh-schastlivyh-ludey/,Майк Викинг,Lykke. В поисках секретов самых счастливых людей,False
26,/antuan-de-sent-ekzuperi/malenkiy-princ-audiospektakl-23569794/,Антуан де Сент-Экзюпери,Маленький принц (аудиоспектакль),True
27,/oleg-roy/zov-delfina/,Олег Рой,Зов дельфина,False
28,/uinston-grem/ross-poldark/,Уинстон Грэм,Росс Полдарк,False
29,/erik-emmanuel-shmitt/chelovek-kotoryy-videl-skvoz-lica/,Эрик-Эмманюэль Шмитт,"Человек, который видел сквозь лица",False
30,/yohan-heyzinga/osen-srednevekovya/,Йохан Хёйзинга,Осень Средневековья,False
31,/boris-dzhonson/faktor-cherchillya-kak-odin-chelovek-izmenil-istoriu/,Борис Джонсон,Фактор Черчилля. Как один человек изменил историю,False
32,/genri-haggard/doch-montesumy-173346/,Генри Райдер Хаггард,Дочь Монтесумы,True
33,/per-lemetr/tri-dnya-i-vsya-zhizn/,Пьер Леметр,Три дня и вся жизнь,False
34,/sesiliya-ahern/s-lubovu-rozi/,Сесилия Ахерн,"С любовью, Рози",False
35,/oliver-bouden/assassin-s-creed-renessans/,Оливер Боуден,Assassin's Creed. Ренессанс,False
36,/piter-meyl/almaznaya-avantura/,Питер Мейл,Алмазная авантюра,False
37,/odri-niffenegger/zhena-puteshestvennika-vo-vremeni-3/,Одри Ниффенеггер,Жена путешественника во времени,False
38,/vladimir-nabokov/strogie-suzhdeniya/,Владимир Набоков,Строгие суждения,False
39,/dzhek-london/rasskazy-uzhnyh-morey-5317299/,Джек Лондон,Рассказы южных морей,True
40,/evgeniy-gagloev/gorod-temnyh-sekretov-29019477/,Евгений Гаглоев,Пандемониум . Город темных секретов,True
41,/chezare-lombrozo/genialnost-i-pomeshatelstvo-5311699/,Чезаре Ломброзо,Гениальность и помешательство,True
42,/enn-tayler/udocheryaya-ameriku-34023366/,Энн Тайлер,Удочеряя Америку,True
43,/oskar-uayld/portret-doriana-greya-kniga-dlya-chteniya-na-angliysk-13155664/,Оскар Уайльд,Портрет Дориана Грея. Книга для чтения на английском языке,False
44,/orhan-pamuk-2/ryzhevolosaya-zhenschina/,Орхан Памук,Рыжеволосая Женщина,False
45,/mark-levi/kazhdyy-hochet-lubit/,Марк Леви,Каждый хочет любить,False
46,/dzheyms-cheyz/delo-o-naezde/,Джеймс Хедли Чейз,Дело о наезде,False
47,/vik-dzheyms/zolotaya-kletka/,Вик Джеймс,Золотая клетка,False
48,/gustav-flober/gospozha-bovari-173339/,Гюстав Флобер,Госпожа Бовари,True
49,/lori-spilman/ostrov-razbityh-serdec/,Лори Спилман,Остров разбитых сердец,False
