,Link,Author,Title,Is_Audio
0,/liana-moriarti/bolshaya-malenkaya-lozh-9336782/,Лиана Мориарти,Большая маленькая ложь,False
1,/dina-rubina/russkaya-kanareyka-zheltuhin/,Дина Рубина,Русская канарейка. Желтухин,False
2,/haruki-murakami/o-chem-ya-govoru-kogda-govoru-o-bege/,Харуки Мураками,"О чем я говорю, когда говорю о беге",False
3,/trumen-kapote/zavtrak-u-tiffani-23750789/,Трумен Капоте,Завтрак у Тиффани,True
4,/yan-leopoldovich-larri/neobyknovennye-priklucheniya-karika-i-vali/,Ян Ларри,Необыкновенные приключения Карика и Вали,False
5,/viktor-pelevin/t-26117967/,Виктор Пелевин,t,True
6,/tess-gerritsen/hirurg-29610533/,Тесс Герритсен,Хирург,True
7,/dzhonatan-foer/zhutko-gromko-i-zapredelno-blizko-4/,Джонатан Сафран Фоер,Жутко громко и запредельно близко,False
8,/u-nesbe/krov-na-snegu-10213590/,Ю Несбё,Кровь на снегу,True
9,/dzheyms-herriot/detyam-rasskazy-o-zhivotnyh/,Джеймс Хэрриот,Детям. Рассказы о животных,False
10,/frenk-abigneyl/poymay-menya-esli-smozhesh-realnaya-istoriya-samogo-neulovimogo-moshennika-za-vsu-istoriu-prestupleniy/,Фрэнк Абигнейл,"Поймай меня, если сможешь. Реальная история самого неуловимого мошенника за всю историю преступлений",False
11,/maykl-marshall/solomennye-ludi/,Майкл Маршалл,Соломенные люди,False
12,/viktor-dragunskiy/gde-eto-vidano-gde-eto-slyhano-176833/,Виктор Драгунский,"Где это видано, где это слыхано…",True
13,/duglas-preston/poteryannyy-gorod-obezyanego-boga/,Дуглас Престон,Потерянный город Обезьяньего бога,False
14,/orhan-pamuk-2/imya-mne-krasnyy-8673867/,Орхан Памук,Имя мне – Красный,False
15,/tuve-yansson/malenkie-trolli-i-bolshoe-navodnenie/,Туве Янссон,Маленькие тролли и большое наводнение,False
16,/narodnoe-tvorchestvo/samym-malenkim-pestushki-kolybelnye-poteshki-5816208/,Народное творчество,"Самым маленьким. Пестушки, Колыбельные, Потешки",True
17,/luk-ollnatt/nebo-prinadlezhit-nam/,Люк Оллнатт,Небо принадлежит нам,False
18,/dzheyms-cheyz/delo-o-naezde/,Джеймс Хедли Чейз,Дело о наезде,False
19,/mihail-bulgakov/morfiy-i-drugie-rasskazy-178526/,Михаил Булгаков,Морфий и другие рассказы,True
20,/devid-ebehard/deti-u-vlasti-kak-my-rastim-malenkih-tiranov-kotorye-upravlyaut-nami/,Дэвид Эбехард,"Дети у власти: как мы растим маленьких тиранов, которые управляют нами",False
21,/mark-levi/kazhdyy-hochet-lubit/,Марк Леви,Каждый хочет любить,False
22,/arthur-konan-doyle/marakotova-bezdna-173316/,Артур Конан Дойл,Маракотова бездна,True
