,Link,Author,Title,Is_Audio
0,/liana-moriarti/bolshaya-malenkaya-lozh-9336782/,Лиана Мориарти,Большая маленькая ложь,False
1,/stuart-terton/sem-smertey-eveliny-hardkasl/,Стюарт Тёртон,Семь смертей Эвелины Хардкасл,False
2,/rozamunda-pilcher/vozvraschenie-domoy/,Розамунда Пилчер,Возвращение домой,False
3,/fredrik-bakman/zdes-byla-britt-mari-35426973/,Фредрик Бакман,Здесь была Бритт-Мари,True
4,/donato-karrizi/zhenschina-s-bumazhnymi-cvetami/,Донато Карризи,Женщина с бумажными цветами,False
5,/karen-uayt/muzyka-vetra/,Карен Уайт,Музыка ветра,False
6,/haruki-murakami/kafka-na-plyazhe/,Харуки Мураками,Кафка на пляже,False
7,/elena-ferrante-10410544/moya-genialnaya-podruga-24890023/,Элена Ферранте,Моя гениальная подруга,True
8,/ekaterina-ostrovskaya/aktery-zatonuvshego-teatra/,Екатерина Островская,Актеры затонувшего театра,False
9,/dzhulian-fellouz/snoby/,Джулиан Феллоуз,Снобы,False
10,/u-nesbe/krov-na-snegu-10213590/,Ю Несбё,Кровь на снегу,True
11,/dzhonatan-foer/zhutko-gromko-i-zapredelno-blizko-4/,Джонатан Сафран Фоер,Жутко громко и запредельно близко,False
12,/gevin-frensis-126450/metamorfozy-puteshestvie-hirurga-po-samym-prekrasnym/,Гэвин Фрэнсис,Метаморфозы. Путешествие хирурга по самым прекрасным и ужасным изменениям человеческого тела,False
13,/dzhonatan-svift/priklucheniya-gullivera-5317314/,Джонатан Свифт,Приключения Гулливера,True
14,/frenk-abigneyl/poymay-menya-esli-smozhesh-realnaya-istoriya-samogo-neulovimogo-moshennika-za-vsu-istoriu-prestupleniy/,Фрэнк Абигнейл,"Поймай меня, если сможешь. Реальная история самого неуловимого мошенника за всю историю преступлений",False
15,/dalay-lama-xiv/iskusstvo-byt-schastlivym/,Далай-лама XIV,Искусство быть счастливым,False
16,/ketrin-stokett/prisluga-35895435/,Кэтрин Стокетт,Прислуга,True
17,/oleg-roy/zov-delfina/,Олег Рой,Зов дельфина,False
18,/giyom-musso/ty-budesh-tam/,Гийом Мюссо,Ты будешь там?,False
19,/gabriella-bennett/coorie-shotlandskoe-iskusstvo-schastya-40213518/,Габриэлла Беннетт,Coorie. Шотландское искусство счастья,False
20,/sesiliya-ahern/s-lubovu-rozi/,Сесилия Ахерн,"С любовью, Рози",False
21,/tasha-eyrih-12782317/insayt-pochemu-my-ne-osoznaem-sebya-tak-horosho-kak-nam-kazhetsya-i-pochemu-otchetlivoe-predstavlenie-o-sebe-pomogaet-dobitsya-uspeha-v-rabote-i-lichnoy-zhizni/,Таша Эйрих,"Инсайт. Почему мы не осознаем себя так хорошо, как нам кажется, и почему отчетливое представление о себе помогает добиться успеха в работе и личной жизни",False
22,/tuve-yansson/malenkie-trolli-i-bolshoe-navodnenie/,Туве Янссон,Маленькие тролли и большое наводнение,False
23,/eduard-estivil/kak-nauchit-rebenka-spat-revolucionnyy-metod-doktora-estivilya/,Эдуард Эстивиль,Как научить ребенка спать. Революционный метод доктора Эстивиля,False
24,/e-o-chirovici/kniga-zerkal/,Э. О. Чировици,Книга зеркал,False
25,/alaster-reynolds/obrechennyy-mir/,Аластер Рейнольдс,Обреченный мир,False
26,/bet-kouts/kak-by-postupila-kleopatra-kak-velikie-zhenschiny-reshali-ezhedn/,Элизабет Фоули,Как бы поступила Клеопатра? Как великие женщины решали ежедневные проблемы: от Фриды Кало до Анны Ахматовой,False
27,/duglas-preston/poteryannyy-gorod-obezyanego-boga/,Дуглас Престон,Потерянный город Обезьяньего бога,False
28,/madlen-l-engl/izlom-vremeni/,Мадлен Л`Энгл,Излом времени,False
29,/devid-perlmutter/zdorovyy-mozg-programma-dlya-uluchsheniya-pamyati-i-myshleniya/,Дэвид Перлмуттер,Здоровый мозг. Программа для улучшения памяти и мышления,False
30,/affiniti-konar/mischling-chuzhekrovka/,Аффинити Конар,Mischling. Чужекровка,False
31,/e-kristensen/yoga-dlya-vseh-put-k-zdorovu-2/,Элис Кристенсэн,Йога для всех. Путь к здоровью,False
32,/dafna-dumore/francuzov-ruchey/,Дафна дю Морье,Французов ручей,False
33,/enn-tayler/udocheryaya-ameriku-34023366/,Энн Тайлер,Удочеряя Америку,True
34,/orhan-pamuk-2/ryzhevolosaya-zhenschina/,Орхан Памук,Рыжеволосая Женщина,False
35,/nikolay-gogol/viy-5807210/,Николай Гоголь,Вий,True
36,/bobbi-konner/500-idey-dlya-tvorcheskogo-razvitiya-igraem-izobrazh-24131838/,Бобби Коннер,"500 идей для творческого развития. Играем, изображаем, рисуем, танцуем, поем, пишем, строим, мастерим",False
37,/uolter-levin/glazami-fizika-ot-kraya-radugi-k-granice-vremeni/,Уолтер Левин,Глазами физика. От края радуги к границе времени,False
38,/vik-dzheyms/zolotaya-kletka/,Вик Джеймс,Золотая клетка,False
39,/shennon-leoni-fauler/puteshestvuya-s-priznakami-vdohnovlyauschaya-istoriya/,Шэннон Леони Фаулер,Путешествуя с призраками. Вдохновляющая история любви и поиска себя,False
