,Link,Author,Title,Is_Audio
0,/haled-hosseyni/beguschiy-za-vetrom/,Халед Хоссейни,Бегущий за ветром,False
1,/robert-haynlayn/dver-v-leto/,Роберт Хайнлайн,Дверь в Лето,False
2,/stig-larsson/devushka-s-tatuirovkoy-drakona/,Стиг Ларссон,Девушка с татуировкой дракона,False
3,/giyom-musso/devushka-iz-bruklina/,Гийом Мюссо,Девушка из Бруклина,False
4,/frank-tile/golovolomka/,Франк Тилье,Головоломка,False
5,/lourens-shorter/kniga-lenivogo-guru-potok-rezultaty-bez-usiliy-22078098/,Лоуренс Шортер,Книга ленивого гуру. Поток. Результаты. Без усилий,False
6,/haruki-murakami/hroniki-zavodnoy-pticy/,Харуки Мураками,Хроники Заводной Птицы,False
7,/tom-henks/unikalnyy-ekzemplyar-istorii-o-tom-o-sem/,Том Хэнкс,Уникальный экземпляр: Истории о том о сём,False
8,/fredrik-bakman/babushka-velela-klanyatsya-i-peredat-chto-prosit-p-29600550/,Фредрик Бакман,"Бабушка велела кланяться и передать, что просит прощения",True
9,/edvard-rezerford/parizh/,Эдвард Резерфорд,Париж,False
10,/dzherald-darrell/moya-semya-i-drugie-zveri/,Джеральд Даррелл,Моя семья и другие звери,False
11,/edvard-rezerford/nu-york/,Эдвард Резерфорд,Нью-Йорк,False
12,/naydzhel-kamberlend/ne-zhaley-ni-o-chem-i-esche-99-pravil-schastlivyh-ludey/,Найджел Камберленд,Не жалей ни о чем. И еще 99 правил счастливых людей,False
13,/dzhoan-ketlin-rouling/sluchaynaya-vakansiya/,Дж. К. Роулинг,Случайная вакансия,False
14,/timoti-ferris/kak-rabotat-po-chetyre-chasa-v-nedelu-21130719/,Тимоти Феррис,Как работать по четыре часа в неделю,True
15,/robert-gelbreyt/zov-kukushki-8497926/,Роберт Гэлбрейт,Зов кукушки,True
16,/dzho-aberkrombi/krov-i-zhelezo/,Джо Аберкромби,Кровь и железо,False
17,/bernhard-shlink/chtec/,Бернхард Шлинк,Чтец,False
18,/igor-mann/layfhak-na-kazhdyy-den/,Игорь Манн,Лайфхак на каждый день,False
19,/viktor-pelevin/snuff-12244972/,Виктор Пелевин,S.N.U.F.F.,True
20,/edvard-rezerford/london/,Эдвард Резерфорд,Лондон,False
21,/deyv-espri/biohaking-mozga-proverennyy-plan-maksimalnoy-prokachki-vashego/,Дэйв Эспри,Биохакинг мозга,False
22,/marisha-pessl-8783026/nochnoe-kino/,Мариша Пессл,Ночное кино,False
23,/sergei-dovlatov/nashi/,Сергей Довлатов,Наши,False
24,/martin-gilbert-2/cherchill-biografiya/,Мартин Гилберт,Черчилль. Биография,False
25,/orson-skott-kard/igra-endera/,Орсон Скотт Кард,Игра Эндера,False
26,/dina-rubina/pocherk-leonardo-6982222/,Дина Рубина,Почерк Леонардо,True
27,/dzhon-faulz/volhv/,Джон Фаулз,Волхв,False
28,/aleksey-ivanovich-tolkachev/ekstremalnyy-taym-menedzhment-19151360/,Николай Мрочковский,Экстремальный тайм-менеджмент,True
29,/charlz-bukovski/zhenschiny/,Чарльз Буковски,Женщины,False
30,/viktor-pelevin/lubov-k-trem-cukerbrinam-11953725/,Виктор Пелевин,Любовь к трем цукербринам,True
31,/u-nesbe/syn-22163699/,Ю Несбё,Сын,True
32,/barbara-sher-2/rabota-tvoey-mechty-kak-zarabatyvat-dengi-zanimayas-lubimym/,Барбара Шер,"Работа твоей мечты. Как зарабатывать деньги, занимаясь любимым делом",False
33,/nik-vuychich/bezgranichnost-50-urokov-kotorye-sdelaut-tebya-vozmutitelno-s/,Ник Вуйчич,"Безграничность. 50 уроков, которые сделают тебя возмутительно счастливым",False
34,/elena-ferrante-10410544/moya-genialnaya-podruga-24890023/,Элена Ферранте,Моя гениальная подруга,True
35,/patrik-lensioni/pochemu-ne-vse-lubyat-hodit-na-rabotu-pravda-o-vovlechenno/,Патрик Ленсиони,Почему не все любят ходить на работу. Правда о вовлеченности сотрудников,False
36,/sofi-kinsella/moya-ne-idealnaya-zhizn/,Софи Кинселла,#моя [не]идеальная жизнь,False
37,/fiona-ferris/30-shikarnyh-dney-plan-po-sozdaniu-zhizni-tvoey-mechty/,Фиона Феррис,30 шикарных дней: план по созданию жизни твоей мечты,False
38,/a-podell/pasport-cheloveka-mira-puteshestvie-skvoz-196-stran/,Альберт Поделл,Паспорт человека мира. Путешествие сквозь 196 стран,False
39,/vladimir-nabokov/korol-dama-valet-15103341/,Владимир Набоков,"Король, дама, валет",True
40,/veronika-rot/divergent/,Вероника Рот,Дивергент,False
41,/un-ayvide-lindkvist/vpusti-menya/,Юн Айвиде Линдквист,Впусти меня,False
42,/tatyana-ustinova/kolodec-zabytyh-zhelaniy/,Татьяна Устинова,Колодец забытых желаний,False
43,/ayzek-azimov/norbi/,Айзек Азимов,Норби (сборник),False
44,/brus-kemeron/zhizn-i-cel-sobaki/,Брюс Кэмерон,Жизнь и цель собаки,False
45,/kristin-hanna/solovey-23219894/,Кристин Ханна,Соловей,True
46,/giyom-musso/zdes-i-seychas/,Гийом Мюссо,Здесь и сейчас,False
47,/rik-yansi/5-ya-volna/,Рик Янси,5-я волна,False
48,/mihay-chiksentmihayi/beguschiy-v-potoke-kak-poluchat-udovolstvie-ot-sporta/,Михай Чиксентмихайи,Бегущий в потоке,False
49,/mett-ridli/evoluciya-vsego/,Мэтт Ридли,Эволюция всего,False
50,/mark-levi/drugoe-schaste/,Марк Леви,Другое счастье,False
51,/elizabet-karlsson/lagom-shvedskie-sekrety-schastlivoy-zhizni/,Элизабет Карлсон,Лагом. Шведские секреты счастливой жизни,False
52,/ien-kelli/viven-vestvud/,Иэн Келли,Вивьен Вествуд,False
53,/orhan-pamuk-2/moi-strannye-mysli/,Орхан Памук,Мои странные мысли,False
54,/gillian-flinn/ostrye-predmety/,Гиллиан Флинн,Острые предметы,False
55,/laura-magni/legendarnye-fotografy-sovremennosti-i-ih-shedevry-29218397/,Лаура Магни,Легендарные фотографы современности и их шедевры,False
56,/nil-geyman/doktor-kto-11-istoriy/,Нил Гейман,Доктор Кто. 11 историй (сборник),False
57,/idriss-aberkan/svobodu-mozgu-chto-skovyvaet-nash-mozg-i-kak-vyrvat-ego-iz-tiskov-v-kotoryh-on-okazalsya/,Идрисс Аберкан,"Свободу мозгу! Что сковывает наш мозг и как вырвать его из тисков, в которых он оказался",False
58,/erik-bertran-larssen/seychas-ne-upusti-moment-eto-vse-chto-u-tebya-est/,Эрик Ларссен,"Сейчас! Не упусти момент – это все, что у тебя есть",False
59,/dennis-bakke-10981024/rabota-v-radost-biznes-model-buduschego/,Деннис Бакке,Работа в радость. Бизнес-модель будущего,False
60,/filip-dik/chelovek-v-vysokom-zamke/,Филип Киндред Дик,Человек в Высоком замке,False
61,/sten-li/kak-risovat-supergeroev-ekskluzivnoe-rukovodstvo-po-risov-31509504/,Стэн Ли,Как рисовать супергероев. Эксклюзивное руководство по рисованию,False
62,/filipp-mayer/syn-23925869/,Филипп Майер,Сын,True
