,Link,Author,Title,Is_Audio
0,/frank-tile/golovolomka/,Франк Тилье,Головоломка,False
1,/dzhoann-harris/shokolad/,Джоанн Харрис,Шоколад,False
2,/richard-mateson/kuda-privodyat-mechty/,Ричард Матесон,Куда приводят мечты,False
3,/edvard-rezerford/nu-york/,Эдвард Резерфорд,Нью-Йорк,False
4,/dzherald-darrell/moya-semya-i-drugie-zveri/,Джеральд Даррелл,Моя семья и другие звери,False
5,/dzhoan-ketlin-rouling/sluchaynaya-vakansiya/,Дж. К. Роулинг,Случайная вакансия,False
6,/viktor-pelevin/snuff-12244972/,Виктор Пелевин,S.N.U.F.F.,True
7,/bernhard-shlink/chtec/,Бернхард Шлинк,Чтец,False
8,/y-andersen/astrid-lindgren-etot-den-i-est-zhizn/,Йенс Андерсен,Астрид Линдгрен. Этот день и есть жизнь,False
9,/richard-mateson/ya-legenda/,Ричард Матесон,Я – легенда (сборник),False
10,/korneliya-funke/chernilnoe-serdce/,Корнелия Функе,Чернильное сердце,False
11,/frank-tile/gataca-ili-proekt-feniks/,Франк Тилье,"Gataca, или Проект «Феникс»",False
12,/elena-ferrante-10410544/moya-genialnaya-podruga-24890023/,Элена Ферранте,Моя гениальная подруга,True
13,/fiona-ferris/30-shikarnyh-dney-plan-po-sozdaniu-zhizni-tvoey-mechty/,Фиона Феррис,30 шикарных дней: план по созданию жизни твоей мечты,False
14,/rik-yansi/5-ya-volna/,Рик Янси,5-я волна,False
15,/richard-yeyts/doroga-peremen/,Ричард Йейтс,Дорога перемен,False
16,/sara-uoters/tonkaya-rabota/,Сара Уотерс,Тонкая работа,False
17,/mett-ridli/evoluciya-vsego/,Мэтт Ридли,Эволюция всего,False
18,/kristin-hanna/solovey-23219894/,Кристин Ханна,Соловей,True
19,/dafna-dumore/golodnaya-gora/,Дафна дю Морье,Голодная гора,False
20,/piter-dzheyms/alhimik/,Питер Джеймс,Алхимик,False
21,/zao-pupkin/dzhon-krakauer-v-dikih-usloviyah/,Джон Кракауэр,В диких условиях,False
22,/dafna-dumore/bogema/,Дафна дю Морье,Богема,False
23,/ernst-gofman/schelkunchik-spektakl-176864/,Эрнст Гофман,Щелкунчик (спектакль),True
24,/dzhek-kenfild/kurinyy-bulon-dlya-dushi-101-istoriya-o-zhivotnyh/,Джек Кэнфилд,Куриный бульон для души: 101 история о животных (сборник),False
25,/ien-kelli/viven-vestvud/,Иэн Келли,Вивьен Вествуд,False
26,/leonard-mlodinov/neo-soznannoe-kak-bessoznatelnyy-um-upravlyaet-nashim-pov/,Леонард Млодинов,(Нео)сознанное. Как бессознательный ум управляет нашим поведением,False
27,/nina-george/muzyka-lunnogo-sveta/,Нина Георге,Музыка лунного света,False
28,/diana-akerman/zhena-smotritelya-zooparka/,Диана Акерман,Жена смотрителя зоопарка,False
29,/raznoe/zavtraki-dlya-udachnogo-dnya-2/,,Завтраки для удачного дня,False
30,/dzhill-santopolo/svet-kotoryy-my-poteryali/,Джилл Сантополо,"Свет, который мы потеряли",False
31,/vladimir-nabokov/pisma-k-vere/,Владимир Набоков,Письма к Вере,False
32,/dzheyn-hoking/byt-hokingom/,Джейн Хокинг,Быть Хокингом,False
33,/frensis-skott-ficdzh/velikiy-getsbi-kniga-dlya-chteniya-na-angliy-11977951/,Френсис Скотт Фицджеральд,Великий Гэтсби. Книга для чтения на английском языке,False
34,/nik-selak-15158845/serdce-i-mozg-taynaya-zhizn-vnutrennih-organov-26308022/,Ник Селак,Сердце и Мозг. Тайная жизнь внутренних органов,False
35,/charlz-dikkens/tayna-edvina-druda-132279/,Чарльз Диккенс,Тайна Эдвина Друда,False
36,/enn-tayler/morgan-uskolzaet-26898022/,Энн Тайлер,Морган ускользает,True
37,/kris-teylor/kak-zvezdnye-voyny-pokorili-vselennuu-istoriya-sozdaniya-legendarnoy-kinosagi/,Крис Тейлор,Как «Звездные войны» покорили Вселенную. История создания легендарной киносаги,False
38,/irina-shlionskaya/samye-zagadochnye-mesta-planety/,Ирина Шлионская,Самые загадочные места планеты,False
