,Link,Author,Title,Is_Audio
0,/u-nesbe/netopyr-162774/,Ю Несбё,Нетопырь,False
1,/fenni-flegg/zharenye-zelenye-pomidory-v-kafe-polustanok/,Фэнни Флэгг,Жареные зеленые помидоры в кафе «Полустанок»,False
2,/rene-moborn/strategiy-21991988/,Рене Моборн,Стратегия голубого океана,False
3,/tom-demarko/deadline-roman-ob-upravlenii-proektami/,Том ДеМарко,Deadline. Роман об управлении проектами,False
4,/ketrin-stokett/prisluga-3/,Кэтрин Стокетт,Прислуга,False
5,/fredrik-bakman/vtoraya-zhizn-uve-24414722/,Фредрик Бакман,Вторая жизнь Уве,True
6,/nassim-nikolas-taleb/odurachennye-sluchaynostu-o-skrytoy-roli-shansa-v-biz/,Нассим Николас Талеб,Одураченные случайностью,False
7,/stiven-king/siyanie-122363/,Стивен Кинг,Сияние,False
8,/robin-hobb/volshebnyy-korabl/,Робин Хобб,Волшебный корабль,False
9,/dzhin-zhelyazny/govori-na-yazyke-diagramm-posobie-po-vizualnym-kommunikaciyam/,Джин Желязны,Говори на языке диаграмм. Пособие по визуальным коммуникациям,False
10,/aleksey-ivanovich-tolkachev/ekstremalnyy-taym-menedzhment-19151360/,Николай Мрочковский,Экстремальный тайм-менеджмент,True
11,/karl-anderson-11438349/analiticheskaya-kultura-ot-sbora-dannyh-do-biznes-rezultatov/,Карл Андерсон,Аналитическая культура. От сбора данных до бизнес-результатов,False
12,/deyl-brekenridzh-karnegi-2/kak-vyrabotat-uverennost-v-sebe-i-vliyat-na-ludey-vystupaya-publichno-11816688/,Дейл Карнеги,"Как выработать уверенность в себе и влиять на людей, выступая публично",True
13,/maykl-uilson/samodisciplina-razvitie-lichnosti/,Майкл Уилсон,Самодисциплина. Развитие личности,True
14,/ken-kizi/nad-kukushkinym-gnezdom-24510104/,Кен Кизи,Над кукушкиным гнездом,True
15,/kolm-toybin/bruklin/,Колм Тойбин,Бруклин,False
16,/nil-geyman/zvezdnaya-pyl/,Нил Гейман,Звездная пыль,False
17,/dzhon-grishem/ilon-mask-pravila-uspeha-22043782/,Илон Маск,Илон Маск. Правила успеха,True
18,/dzhon-le-karre/nochnoy-administrator/,Джон Ле Карре,Ночной администратор,False
19,/kollektiv-avtorov/vina-francii-glavnye-sorta-regiony-i-appellasony-21556807/,Коллектив авторов,"Вина Франции. Главные сорта, регионы и аппелласьоны",False
20,/nik-perumov/cherep-na-rukave/,Ник Перумов,Череп на рукаве,False
21,/dzhulian-barns/popugay-flobera-4/,Джулиан Барнс,Попугай Флобера,False
22,/dzhek-uelch/vmesto-mba-poleznye-sovety-ot-legendarnyh-menedzherov/,Джек Уэлч,Вместо MBA. Полезные советы от легендарных менеджеров,False
23,/norman-vinsent-pil/sila-pozitivnogo-myshleniya-22075130/,Норман Винсент Пил,Сила позитивного мышления,True
24,/frensis-skott-ficdzherald/noch-nezhna/,Френсис Скотт Фицджеральд,Ночь нежна,False
25,/edvard-de-bono/shest-shlyap-myshleniya-18706438/,Эдвард де Боно,Шесть шляп мышления,True
26,/charlz-bukovski/gollivud/,Чарльз Буковски,Голливуд,False
27,/vladimir-sorokin/ochered/,Владимир Сорокин,Очередь,False
28,/margaret-etvud/vedmino-otrode/,Маргарет Этвуд,Ведьмино отродье,False
29,/dzhon-grishem/istoriya-facebook-mark-cukerberg-pravila-uspeha-24395366/,Марк Цукерберг,История Facebook. Марк Цукерберг. Правила успеха,True
30,/brayan-treysi/peregovory/,Брайан Трейси,Переговоры,False
31,/set-godin/fioletovaya-korova-sdelayte-svoy-biznes-vydauschimsya/,Сет Годин,Фиолетовая корова. Сделайте свой бизнес выдающимся!,False
32,/dzhon-yanch/prodavec-novogo-vremeni-dumay-kak-marketer-prodavay-kak-zvezda/,Джон Янч,Продавец нового времени. Думай как маркетер – продавай как звезда,False
33,/artur-bendzhamin/magiya-chisel-momentalnye-vychisleniya-v-ume-i-dr-8498526/,Артур Бенджамин,Магия чисел. Моментальные вычисления в уме и другие математические фокусы,False
34,/artur-golden/memuary-geyshi/,Артур Голден,Мемуары гейши,False
