,Link,Author,Title,Is_Audio
0,/stig-larsson/devushka-s-tatuirovkoy-drakona/,Стиг Ларссон,Девушка с татуировкой дракона,False
1,/frank-tile/golovolomka/,Франк Тилье,Головоломка,False
2,/haruki-murakami/hroniki-zavodnoy-pticy/,Харуки Мураками,Хроники Заводной Птицы,False
3,/tom-henks/unikalnyy-ekzemplyar-istorii-o-tom-o-sem/,Том Хэнкс,Уникальный экземпляр: Истории о том о сём,False
4,/edvard-rezerford/parizh/,Эдвард Резерфорд,Париж,False
5,/dzhoan-ketlin-rouling/sluchaynaya-vakansiya/,Дж. К. Роулинг,Случайная вакансия,False
6,/robert-gelbreyt/zov-kukushki-8497926/,Роберт Гэлбрейт,Зов кукушки,True
7,/dzhon-faulz/kollekcioner/,Джон Фаулз,Коллекционер,False
8,/marisha-pessl-8783026/nochnoe-kino/,Мариша Пессл,Ночное кино,False
9,/dzhonatan-foer/zhutko-gromko-i-zapredelno-blizko-4/,Джонатан Сафран Фоер,Жутко громко и запредельно близко,False
10,/aleksey-ivanovich-tolkachev/ekstremalnyy-taym-menedzhment-19151360/,Николай Мрочковский,Экстремальный тайм-менеджмент,True
11,/viktor-pelevin/lubov-k-trem-cukerbrinam-11953725/,Виктор Пелевин,Любовь к трем цукербринам,True
12,/u-nesbe/syn-22163699/,Ю Несбё,Сын,True
13,/oleg-divov/simbionty-437105/,Олег Дивов,Симбионты,False
14,/zhan-kristof-granzhe/bagrovye-reki/,Жан-Кристоф Гранже,Багровые реки,False
15,/fiona-ferris/30-shikarnyh-dney-plan-po-sozdaniu-zhizni-tvoey-mechty/,Фиона Феррис,30 шикарных дней: план по созданию жизни твоей мечты,False
16,/devid-mitchell/golodnyy-dom/,Дэвид Митчелл,Голодный дом,False
17,/mett-ridli/evoluciya-vsego/,Мэтт Ридли,Эволюция всего,False
18,/mark-levi/drugoe-schaste/,Марк Леви,Другое счастье,False
19,/orhan-pamuk-2/moi-strannye-mysli/,Орхан Памук,Мои странные мысли,False
20,/nil-geyman/doktor-kto-11-istoriy/,Нил Гейман,Доктор Кто. 11 историй (сборник),False
21,/idriss-aberkan/svobodu-mozgu-chto-skovyvaet-nash-mozg-i-kak-vyrvat-ego-iz-tiskov-v-kotoryh-on-okazalsya/,Идрисс Аберкан,"Свободу мозгу! Что сковывает наш мозг и как вырвать его из тисков, в которых он оказался",False
22,/filip-dik/chelovek-v-vysokom-zamke/,Филип Киндред Дик,Человек в Высоком замке,False
23,/roland-lazenbi/maykl-dzhordan-ego-vozdushestvo/,Роланд Лазенби,Майкл Джордан. Его Воздушество,False
24,/nora-roberts/oderzhimost/,Нора Робертс,Одержимость,False
25,/betsi-cheys/krolichya-nora-ili-chto-my-znaem-o-sebe-i-vselennoy/,Уильям Арнтц,"Кроличья нора, или Что мы знаем о себе и Вселенной",False
26,/kollektiv-avtorov/zvezdnye-voyny-psihologiya-kinovselennoy/,Коллектив авторов,Звездные войны. Психология киновселенной,False
27,/frederik-begbeder/lubov-zhivet-tri-goda-17043427/,Фредерик Бегбедер,Любовь живет три года,True
28,/dzhennifer-makmahon/sestry-nochi/,Дженнифер Макмахон,Сестры ночи,False
29,/dzhennifer-linch/tvin-piks-taynyy-dnevnik-lory-palmer/,Дженнифер Линч,Твин-Пикс: Тайный дневник Лоры Палмер,False
30,/irvin-uelsh/tri-istorii-o-lubvi-i-himii/,Ирвин Уэлш,Три истории о любви и химии (сборник),False
31,/orhan-pamuk-2/chernaya-kniga/,Орхан Памук,Черная книга,False
32,/diana-akerman/zhena-smotritelya-zooparka/,Диана Акерман,Жена смотрителя зоопарка,False
33,/genri-miller/tropik-kozeroga-21240032/,Генри Миллер,Тропик Козерога,False
34,/dzheyn-hoking/byt-hokingom/,Джейн Хокинг,Быть Хокингом,False
35,/arthur-konan-doyle/marakotova-bezdna-173316/,Артур Конан Дойл,Маракотова бездна,True
36,/emir-kusturica/sto-bed/,Эмир Кустурица,Сто бед (сборник),False
37,/oskar-uayld/salomeya-salome-304952/,Оскар Уайльд,Саломея / Salome,True
38,/richard-ford-2/sportivnyy-zhurnalist-2/,Ричард Форд,Спортивный журналист,False
39,/kris-teylor/kak-zvezdnye-voyny-pokorili-vselennuu-istoriya-sozdaniya-legendarnoy-kinosagi/,Крис Тейлор,Как «Звездные войны» покорили Вселенную. История создания легендарной киносаги,False
40,/genri-miller/pleksus/,Генри Миллер,Плексус,False
41,/liana-moriarti/bolshaya-malenkaya-lozh-23230091/,Лиана Мориарти,Большая маленькая ложь,True
42,/grem-olkott-2/produktivnyy-nindzya-rabotay-luchshe-poluchay-bolshe-lubi-sv/,Грэм Олкотт,"Продуктивный ниндзя. Работай лучше, получай больше, люби свое дело",False
